"FullName","TamanhoKB","DataModificacao"
"D:\bruto\$R61POZI\00-AION-Migrate.ps1","12,19","2025-10-10 22:45"
"D:\bruto\$R61POZI\10-Install-Restore-Watcher.ps1","4","2025-10-10 19:36"
"D:\bruto\$R61POZI\35-Demo-Seed.ps1","1,15","2025-10-10 18:06"
"D:\bruto\$R61POZI\AION-RISPA-NDC-UniProc-v05.ps1","5,88","2025-10-04 13:09"
"D:\bruto\$R61POZI\AION-RISPA.NDC-Core.v05.ps1","1,69","2025-10-04 13:09"
"D:\bruto\$R61POZI\core_spec.teia.json","2,97","2025-11-13 23:37"
"D:\bruto\$R61POZI\D__A5MB.core.seed.json.canon.json","0,52","2025-11-13 09:27"
"D:\bruto\$R61POZI\D__D__Corpus_TEIA_sample_blob.bin.seed.json.canon.json","342,08","2025-11-13 09:27"
"D:\bruto\$R61POZI\D__D__Corpus_TEIA_sample_hello.csv.seed.json.canon.json","0,77","2025-11-13 09:27"
"D:\bruto\$R61POZI\D__D__Corpus_TEIA_sample_runsA_512k.bin.seed.json.canon.json","0,58","2025-11-13 09:27"
"D:\bruto\$R61POZI\D__D__Corpus_TEIA_sample_text_hello.txt.seed.json.canon.json","66,58","2025-11-13 09:27"
"D:\bruto\$R61POZI\D__D__Corpus_TEIA_sample_zeros_512k.bin.seed.json.canon.json","0,58","2025-11-13 09:27"
"D:\bruto\$R61POZI\D__D__Corpus_TEIA_teia_headroom_top.csv.seed.json.canon.json","1,16","2025-11-13 09:27"
"D:\bruto\$R61POZI\D__fractal_benchmark_20250905_184324.log.preview.txt.seed.json.canon.json","0,64","2025-11-13 09:27"
"D:\bruto\$R61POZI\D__fractal_benchmark_20250905_184324.log.seed.json.canon.json","0,65","2025-11-13 09:27"
"D:\bruto\$R61POZI\D__TEIA-Fractal-Benchmark-IO.ps1.preview.txt.seed.json.canon.json","1,72","2025-11-13 09:27"
"D:\bruto\$R61POZI\D__TEIA-Fractal-Benchmark-IO.ps1.seed.json.canon.json","4,23","2025-11-13 09:27"
"D:\bruto\$R61POZI\Deploy-TEIA-Seed-Dashboard.ps1","14,54","2025-09-27 11:45"
"D:\bruto\$R61POZI\Fix-TEIA-SeedAnchor.ps1","10,65","2025-09-28 16:05"
"D:\bruto\$R61POZI\fractal_index.json","30255,5","2025-11-13 23:25"
"D:\bruto\$R61POZI\GeminiSeedAdapter.ps1","2,13","2025-09-26 18:08"
"D:\bruto\$R61POZI\OntoSeed_614a77_raw.json","0,6","2025-11-13 00:32"
"D:\bruto\$R61POZI\rep1M.bin.teia.v0.4.seed.json","0,31","2025-11-08 23:54"
"D:\bruto\$R61POZI\rep1M.bin.teia.v1.0.seed.json","0,43","2025-11-09 00:33"
"D:\bruto\$R61POZI\restore (2).py","0,06","2025-11-18 20:40"
"D:\bruto\$R61POZI\restore_summary.md","0,32","2025-11-04 16:59"
"D:\bruto\$R61POZI\restore.cpython-312 (2).pyc","10,6","2025-11-18 20:41"
"D:\bruto\$R61POZI\restore.cpython-312.pyc","0,21","2025-11-18 20:41"
"D:\bruto\$R61POZI\restore.py","9,3","2025-11-18 18:40"
"D:\bruto\$R61POZI\restored_payload.bin","3,15","2025-11-14 00:53"
"D:\bruto\$R61POZI\RestoreDevice","2,55","2025-08-17 22:51"
"D:\bruto\$R61POZI\Run-SeedCanon.ps1","0,19","2025-11-13 09:24"
"D:\bruto\$R61POZI\Run-TEIA-Core-Corpus-v0.3.3.ps1","9,34","2025-10-30 17:11"
"D:\bruto\$R61POZI\Run-TEIA-Core-Tests-v0.3.2.1.ps1","9,02","2025-10-30 11:02"
"D:\bruto\$R61POZI\seed_canon_log.json","96,61","2025-11-13 09:28"
"D:\bruto\$R61POZI\seed_canon_records.json","2,62","2025-11-13 09:28"
"D:\bruto\$R61POZI\seed_diff_log.json","0","2025-11-13 09:25"
"D:\bruto\$R61POZI\seed_variant1.cpython-312.pyc","10,81","2025-11-18 20:40"
"D:\bruto\$R61POZI\seed_variant1.py","9,54","2025-11-18 18:40"
"D:\bruto\$R61POZI\seed.cpython-312.pyc","0,21","2025-11-18 20:40"
"D:\bruto\$R61POZI\seed.py","0,07","2025-11-18 18:07"
"D:\bruto\$R61POZI\TEIA-Core-Service-v1.0.ps1","3,52","2025-11-09 00:33"
"D:\bruto\$R61POZI\TEIA-Core-Service.ps1","3,76","2025-11-08 23:49"
"D:\bruto\$R61POZI\TEIA-Core-v0.4.0.ps1","6,27","2025-11-08 23:48"
"D:\bruto\$R61POZI\TEIA-Core-v1.0.0.ps1","4,95","2025-11-09 00:33"
"D:\bruto\TEIA\00-AION-Migrate.ps1","12,19","2025-10-10 22:45"
"D:\bruto\TEIA\10-Install-Restore-Watcher.ps1","4","2025-10-10 19:36"
"D:\bruto\TEIA\35-Demo-Seed.ps1","1,15","2025-10-10 18:06"
"D:\bruto\TEIA\35-Demo-Seed.zip","78407,79","2025-11-20 06:43"
"D:\bruto\TEIA\AION-RISPA-NDC-UniProc-v05.ps1","5,88","2025-10-04 13:09"
"D:\bruto\TEIA\AION-RISPA.NDC-Core.v05.ps1","1,69","2025-10-04 13:09"
"D:\bruto\TEIA\core_spec.teia.json","2,97","2025-11-13 23:37"
"D:\bruto\TEIA\D__A5MB.core.seed.json.canon.json","0,52","2025-11-13 09:27"
"D:\bruto\TEIA\D__D__Corpus_TEIA_sample_blob.bin.seed.json.canon.json","342,08","2025-11-13 09:27"
"D:\bruto\TEIA\D__D__Corpus_TEIA_sample_hello.csv.seed.json.canon.json","0,77","2025-11-13 09:27"
"D:\bruto\TEIA\D__D__Corpus_TEIA_sample_runsA_512k.bin.seed.json.canon.json","0,58","2025-11-13 09:27"
"D:\bruto\TEIA\D__D__Corpus_TEIA_sample_text_hello.txt.seed.json.canon.json","66,58","2025-11-13 09:27"
"D:\bruto\TEIA\D__D__Corpus_TEIA_sample_zeros_512k.bin.seed.json.canon.json","0,58","2025-11-13 09:27"
"D:\bruto\TEIA\D__D__Corpus_TEIA_teia_headroom_top.csv.seed.json.canon.json","1,16","2025-11-13 09:27"
"D:\bruto\TEIA\D__fractal_benchmark_20250905_184324.log.preview.txt.seed.json.canon.json","0,64","2025-11-13 09:27"
"D:\bruto\TEIA\D__fractal_benchmark_20250905_184324.log.seed.json.canon.json","0,65","2025-11-13 09:27"
"D:\bruto\TEIA\D__TEIA-Fractal-Benchmark-IO.ps1.preview.txt.seed.json.canon.json","1,72","2025-11-13 09:27"
"D:\bruto\TEIA\D__TEIA-Fractal-Benchmark-IO.ps1.seed.json.canon.json","4,23","2025-11-13 09:27"
"D:\bruto\TEIA\Deploy-TEIA-Seed-Dashboard.ps1","14,54","2025-09-27 11:45"
"D:\bruto\TEIA\Fix-TEIA-SeedAnchor.ps1","10,65","2025-09-28 16:05"
"D:\bruto\TEIA\fractal_index.json","30255,5","2025-11-13 23:25"
"D:\bruto\TEIA\GeminiSeedAdapter.ps1","2,13","2025-09-26 18:08"
"D:\bruto\TEIA\OntoSeed_614a77_raw.json","0,6","2025-11-13 00:32"
"D:\bruto\TEIA\rep1M.bin.teia.v0.4.seed.json","0,31","2025-11-08 23:54"
"D:\bruto\TEIA\rep1M.bin.teia.v1.0.seed.json","0,43","2025-11-09 00:33"
"D:\bruto\TEIA\restore (2).py","0,06","2025-11-18 20:40"
"D:\bruto\TEIA\restore_summary.md","0,32","2025-11-04 16:59"
"D:\bruto\TEIA\restore_teia.ps1","1,5","2025-11-24 22:11"
"D:\bruto\TEIA\restore.cpython-312 (2).pyc","10,6","2025-11-18 20:41"
"D:\bruto\TEIA\restore.cpython-312.pyc","0,21","2025-11-18 20:41"
"D:\bruto\TEIA\restore.py","9,3","2025-11-18 18:40"
"D:\bruto\TEIA\restored_payload.bin","3,15","2025-11-14 00:53"
"D:\bruto\TEIA\RestoreDevice","2,55","2025-08-17 22:51"
"D:\bruto\TEIA\RUN_RESTORE.ps1","2,92","2025-11-24 21:25"
"D:\bruto\TEIA\Run-SeedCanon.ps1","0,19","2025-11-13 09:24"
"D:\bruto\TEIA\Run-TEIA-Core-Corpus-v0.3.3.ps1","9,34","2025-10-30 17:11"
"D:\bruto\TEIA\Run-TEIA-Core-Tests-v0.3.2.1.ps1","9,02","2025-10-30 11:02"
"D:\bruto\TEIA\seed_canon_log.json","96,61","2025-11-13 09:28"
"D:\bruto\TEIA\seed_canon_records.json","2,62","2025-11-13 09:28"
"D:\bruto\TEIA\seed_diff_log.json","0","2025-11-13 09:25"
"D:\bruto\TEIA\seed_variant1.cpython-312.pyc","10,81","2025-11-18 20:40"
"D:\bruto\TEIA\seed_variant1.py","9,54","2025-11-18 18:40"
"D:\bruto\TEIA\seed.cpython-312.pyc","0,21","2025-11-18 20:40"
"D:\bruto\TEIA\seed.json","0,26","2025-11-25 12:32"
"D:\bruto\TEIA\seed.py","0,07","2025-11-18 18:07"
"D:\bruto\TEIA\teia_seed_analysis.json","4,91","2025-11-13 09:30"
"D:\bruto\TEIA\TEIA-Core-Service-v1.0.ps1","3,52","2025-11-09 00:33"
"D:\bruto\TEIA\TEIA-Core-Service.ps1","3,76","2025-11-08 23:49"
"D:\bruto\TEIA\TEIA-Core-v0.4.0.ps1","6,27","2025-11-08 23:48"
"D:\bruto\TEIA\TEIA-Core-v1.0.0.ps1","4,95","2025-11-09 00:33"
"D:\bruto\TEIA\TEIA-Fractal-RestoreOnDemand.ps1","2,42","2025-08-23 08:33"
"D:\bruto\TEIA\TEIA-GENESIS-OMNI_FINAL_RESTOREFIX.ps1","8281,67","2025-11-25 20:43"
"D:\bruto\TEIA\TEIA-Manifest-Restore-v0.4.ps1","0,57","2025-11-08 23:48"
"D:\bruto\TEIA\TEIA-Manifest-Restore-v1.0.ps1","0,57","2025-11-09 00:33"
"D:\bruto\TEIA\TEIA-Seed-Pack-v0.4.ps1","4,51","2025-11-08 23:48"
"D:\bruto\TEIA\TEIA-Seed-Pack-v1.0.ps1","3,83","2025-11-09 00:33"
"D:\bruto\TEIA\test_image.ppm.seed.json","1589,09","2025-11-18 23:14"
"D:\bruto\TEIA\Analisados\00-AION-Migrate.ps1","12,19","2025-10-10 22:45"
"D:\bruto\TEIA\Analisados\10-Install-Restore-Watcher.ps1","4","2025-10-10 19:36"
"D:\bruto\TEIA\Analisados\35-Demo-Seed.ps1","1,15","2025-10-10 18:06"
"D:\bruto\TEIA\Analisados\AION-RISPA-NDC-UniProc-v05.ps1","5,88","2025-10-04 13:09"
"D:\bruto\TEIA\Analisados\AION-RISPA.NDC-Core.v05.ps1","1,69","2025-10-04 13:09"
"D:\bruto\TEIA\Analisados\core_spec.teia.json","2,97","2025-11-13 23:37"
"D:\bruto\TEIA\Analisados\D__A5MB.core.seed.json.canon.json","0,52","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\D__D__Corpus_TEIA_sample_blob.bin.seed.json.canon.json","342,08","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\D__D__Corpus_TEIA_sample_hello.csv.seed.json.canon.json","0,77","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\D__D__Corpus_TEIA_sample_runsA_512k.bin.seed.json.canon.json","0,58","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\D__D__Corpus_TEIA_sample_text_hello.txt.seed.json.canon.json","66,58","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\D__D__Corpus_TEIA_sample_zeros_512k.bin.seed.json.canon.json","0,58","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\D__D__Corpus_TEIA_teia_headroom_top.csv.seed.json.canon.json","1,16","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\D__fractal_benchmark_20250905_184324.log.preview.txt.seed.json.canon.json","0,64","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\D__fractal_benchmark_20250905_184324.log.seed.json.canon.json","0,65","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\D__TEIA-Fractal-Benchmark-IO.ps1.preview.txt.seed.json.canon.json","1,72","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\D__TEIA-Fractal-Benchmark-IO.ps1.seed.json.canon.json","4,23","2025-11-13 09:27"
"D:\bruto\TEIA\Analisados\Deploy-TEIA-Seed-Dashboard.ps1","14,54","2025-09-27 11:45"
"D:\bruto\TEIA\Analisados\Fix-TEIA-SeedAnchor.ps1","10,65","2025-09-28 16:05"
"D:\bruto\TEIA\Analisados\fractal_index.json","30255,5","2025-11-13 23:25"
"D:\bruto\TEIA\Analisados\GeminiSeedAdapter.ps1","2,13","2025-09-26 18:08"
"D:\bruto\TEIA\Analisados\OntoSeed_614a77_raw.json","0,6","2025-11-13 00:32"
"D:\bruto\TEIA\Analisados\rep1M.bin.teia.v0.4.seed.json","0,31","2025-11-08 23:54"
"D:\bruto\TEIA\Analisados\rep1M.bin.teia.v1.0.seed.json","0,43","2025-11-09 00:33"
"D:\bruto\TEIA\Analisados\restore (2).py","0,06","2025-11-18 20:40"
"D:\bruto\TEIA\Analisados\restore_summary.md","0,32","2025-11-04 16:59"
"D:\bruto\TEIA\Analisados\restore.py","9,3","2025-11-18 18:40"
"D:\bruto\TEIA\Analisados\Run-SeedCanon.ps1","0,19","2025-11-13 09:24"
"D:\bruto\TEIA\Analisados\Run-TEIA-Core-Corpus-v0.3.3.ps1","9,34","2025-10-30 17:11"
"D:\bruto\TEIA\Analisados\Run-TEIA-Core-Tests-v0.3.2.1.ps1","9,02","2025-10-30 11:02"
"D:\bruto\TEIA\Analisados\seed_canon_log.json","96,61","2025-11-13 09:28"
"D:\bruto\TEIA\Analisados\seed_canon_records.json","2,62","2025-11-13 09:28"
"D:\bruto\TEIA\Analisados\seed_variant1.py","9,54","2025-11-18 18:40"
"D:\bruto\TEIA\Analisados\seed.py","0,07","2025-11-18 18:07"
"D:\bruto\TEIA\Analisados\seedfirst_benchmark_run.log","1,15","2025-09-15 21:23"
"D:\bruto\TEIA\Analisados\teia_seed_analysis.json","4,91","2025-11-13 09:30"
"D:\bruto\TEIA\Analisados\TEIA-Core-Service-v1.0.ps1","3,52","2025-11-09 00:33"
"D:\bruto\TEIA\Analisados\TEIA-Core-Service.ps1","3,76","2025-11-08 23:49"
"D:\bruto\TEIA\Analisados\TEIA-Core-v0.4.0.ps1","6,27","2025-11-08 23:48"
"D:\bruto\TEIA\Analisados\TEIA-Core-v1.0.0.ps1","4,95","2025-11-09 00:33"
"D:\bruto\TEIA\Analisados\TEIA-Fractal-RestoreOnDemand.ps1","2,42","2025-08-23 08:33"
"D:\bruto\TEIA\Analisados\TEIA-Manifest-Restore-v0.4.ps1","0,57","2025-11-08 23:48"
"D:\bruto\TEIA\Analisados\TEIA-Manifest-Restore-v1.0.ps1","0,57","2025-11-09 00:33"
"D:\bruto\TEIA\Analisados\TEIA-Seed-Pack-v0.4.ps1","4,51","2025-11-08 23:48"
"D:\bruto\TEIA\Analisados\TEIA-Seed-Pack-v1.0.ps1","3,83","2025-11-09 00:33"
"D:\bruto\TEIA\Analisados\test_image.ppm.seed.json","1589,09","2025-11-18 23:14"
"D:\bruto\TEIA\backups\TEIA-GENESIS-OMNI_NewTeiaSeedAut_20251125_200921.bak.ps1","8281,44","2025-11-25 19:58"
"D:\bruto\TEIA\backups\TEIA-GENESIS-OMNI_SeedAsHashtableFix_20251125_212557.bak.ps1","8281,9","2025-11-25 21:07"
"D:\bruto\TEIA\bin\AION-RISPA-NDC-UniProc-v05.ps1","5,88","2025-11-25 23:23"
"D:\bruto\TEIA\bin\AION-RISPA.NDC-Core.v05.ps1","1,69","2025-11-25 23:23"
"D:\bruto\TEIA\bin\TEIA-Core-v1.0.0.ps1","4,95","2025-11-25 23:23"
"D:\bruto\TEIA\bin\modules\restore.py","9,3","2025-11-25 23:23"
"D:\bruto\TEIA\bin\modules\seed_variant1.py","9,54","2025-11-25 23:23"
"D:\bruto\TEIA\canon\legacy_resgatado\TEIA-OntoSeed-Gen.ps1","4,86","2025-11-28 22:55"
"D:\bruto\TEIA\data\english_seed.txt","0,4","2025-11-25 23:23"
"D:\bruto\TEIA\data\fractal_index.json","30255,5","2025-11-25 23:23"
"D:\bruto\TEIA\Miniconda\envs\agents_v2\Lib\site-packages\googleapiclient\discovery_cache\documents\firestore.v1.json","204,64","2025-11-28 13:08"
"D:\bruto\TEIA\Miniconda\envs\agents_v2\Lib\site-packages\googleapiclient\discovery_cache\documents\firestore.v1beta1.json","127,62","2025-11-28 13:08"
"D:\bruto\TEIA\Miniconda\envs\agents_v2\Lib\site-packages\googleapiclient\discovery_cache\documents\firestore.v1beta2.json","56,18","2025-11-28 13:08"
