EventID,Timestamp,UserID,IPAddress,Action,DurationMs,ErrorCode,Region,Thread,BytesIn
37105773-aa27-4ec1-a390-1e035933784d,2024-01-28T08:42:25Z,U01025739,126.65.153.147,PATCH,15329,0,us-west-2,T0835,51481
7219ff24-2701-40b2-9fb7-fab858c70d4c,2024-01-28T22:26:37Z,U01238063,38.162.79.142,DELETE,15561,0,us-east-2,T0090,22215
e499c0f8-98d9-4b5b-8df3-fd7e396af48b,2024-01-28T22:05:40Z,U00242070,25.229.222.2,DELETE,4267,0,ca-central-1,T0930,46148
34a99a0c-04cd-4f91-b7da-a9bc330ebdd6,2024-01-28T17:10:28Z,U00707637,194.241.178.26,GET,9072,404,ap-southeast-1,T0772,26266
7bbde572-f227-4d0d-9684-8d1b15a32770,2024-01-28T23:17:05Z,U00096606,71.53.54.241,POST,22592,0,us-west-2,T0334,31493
2593aef0-83b7-4928-9072-cf3609448db3,2024-01-28T11:27:03Z,U00130492,164.97.109.177,POST,3405,403,ap-northeast-1,T0918,62794
073b390d-e570-45aa-aa3a-17ed7689b092,2024-01-28T19:05:49Z,U01399207,210.52.120.200,PUT,15412,0,eu-north-1,T0925,53792
b94a5c13-54ba-4a59-b971-47384759bb19,2024-01-28T17:25:37Z,U01029345,236.124.121.46,POST,16738,0,eu-central-1,T0468,41349
60c6fc3e-4956-426a-b742-baa381aacfc4,2024-01-28T10:58:01Z,U01517337,223.21.13.168,DELETE,15750,0,eu-central-1,T0414,33754
ef4e503b-059c-4b5f-bd6d-3e9df312c8c4,2024-01-28T02:56:24Z,U00287209,72.162.153.209,GET,23386,0,ca-central-1,T0654,59863
4dcfe333-b3eb-4f82-a631-a1cc98751ad9,2024-01-28T18:21:49Z,U01740753,163.130.42.92,PATCH,15376,0,eu-west-1,T0747,46720
6c06ced0-7df1-4449-90d2-94bb8ec16793,2024-01-28T21:54:14Z,U00948837,118.176.252.102,DELETE,12145,0,ap-southeast-1,T0362,21664
c87566e7-6146-4bb8-a49b-f7e1a30cdfa0,2024-01-28T21:29:42Z,U01288030,244.50.38.175,PUT,19068,0,me-south-1,T0320,11936
9fbfe97e-676f-4ba1-969a-c6dafad0ed78,2024-01-28T00:27:17Z,U00400735,92.196.97.230,POST,27907,0,sa-east-1,T0724,8149
f4cb381d-4cfa-4723-a1b3-f5a661dffd74,2024-01-28T08:36:19Z,U00883399,202.189.33.64,PATCH,10552,400,eu-central-1,T0615,34159
3c9a5f7a-1089-4754-8298-ae84b5e82470,2024-01-28T09:37:18Z,U01479189,92.139.179.29,DELETE,28551,0,eu-central-1,T0671,51501
a365bfcf-447c-4d3a-86d5-450a46b648b9,2024-01-28T00:57:43Z,U01845240,6.50.33.110,PATCH,9796,503,ap-south-1,T0840,46554
08dda0cd-ea3f-4b7a-8496-c8313065d858,2024-01-28T21:28:45Z,U01501949,129.219.37.246,DELETE,21268,401,ap-south-1,T0368,42172
afc2b71f-e7fc-4f0b-9e11-4404ab495243,2024-01-28T12:58:53Z,U01479660,59.72.246.197,PATCH,2337,404,us-east-1,T0699,13654
b1b31efb-c10a-4cb6-bf22-244d865c70a8,2024-01-28T05:26:36Z,U01227810,57.19.96.74,DELETE,16932,500,us-east-2,T0648,62306
61194b9b-8286-46c8-a79b-557c83a080c2,2024-01-28T14:33:30Z,U01503002,205.47.155.245,POST,6019,400,ap-southeast-1,T0658,25640
a097f97e-5b51-4ba6-9b31-c99615ee4cb6,2024-01-28T04:53:00Z,U01299699,93.37.222.194,PATCH,26614,0,eu-central-1,T0629,35044
2e40b752-2458-4557-ab83-8b7b3b789390,2024-01-28T17:56:03Z,U01194506,85.75.61.205,DELETE,26708,0,eu-central-1,T0677,13813
d82e7dfb-b0ea-42a6-9e16-79825f3ed9df,2024-01-28T23:14:46Z,U01567122,120.207.206.127,DELETE,25438,503,ca-central-1,T0872,47616
9a482022-ce16-40f6-b520-db0012ca037e,2024-01-28T22:10:41Z,U00904589,178.34.182.194,PATCH,9264,0,eu-central-1,T0439,729
79a84f5f-c3c9-494e-be19-19a17bf66c39,2024-01-28T15:05:53Z,U01810350,245.192.162.196,POST,27767,503,us-west-2,T0180,5542
5a93b67f-757e-4b96-b0df-f2c8e1499fa1,2024-01-28T07:00:35Z,U00260119,21.141.165.199,PUT,27501,403,us-east-2,T0372,51569
2a19a794-8c5b-4119-b27c-a6f82ecdb44a,2024-01-28T02:32:48Z,U01214716,46.84.96.94,GET,20982,0,ap-northeast-1,T0180,59107
