txn_id,date,cust_id,product_id,quantity,unit_price,region
1000001,2024-01-01,C1001,P0001,2,200,north
1000002,2024-01-01,C1042,P0014,5,237,south
1000003,2024-01-01,C1083,P0027,8,274,east
1000004,2024-01-01,C1124,P0040,11,311,west
1000005,2024-01-01,C1165,P0053,14,348,central
1000006,2024-01-01,C1206,P0066,17,385,north
1000007,2024-01-01,C1247,P0079,20,422,south
1000008,2024-01-01,C1288,P0092,3,459,east
1000009,2024-01-01,C1329,P0105,6,496,west
1000010,2024-01-01,C1370,P0118,9,533,central
1000011,2024-01-01,C1411,P0131,12,570,north
1000012,2024-01-01,C1452,P0144,15,607,south
1000013,2024-01-01,C1493,P0157,18,644,east
1000014,2024-01-01,C1034,P0170,1,681,west
1000015,2024-01-01,C1075,P0183,4,718,central
1000016,2024-01-01,C1116,P0196,7,755,north
1000017,2024-01-01,C1157,P0009,10,792,south
1000018,2024-01-01,C1198,P0022,13,829,east
1000019,2024-01-01,C1239,P0035,16,866,west
1000020,2024-01-01,C1280,P0048,19,903,central
1000021,2024-01-01,C1321,P0061,2,940,north
1000022,2024-01-01,C1362,P0074,5,977,south
1000023,2024-01-01,C1403,P0087,8,1014,east
1000024,2024-01-01,C1444,P0100,11,1051,west
1000025,2024-01-01,C1485,P0113,14,1088,central
1000026,2024-01-01,C1026,P0126,17,1125,north
1000027,2024-01-01,C1067,P0139,20,1162,south
1000028,2024-01-01,C1108,P0152,3,1199,east
1000029,2024-01-01,C1149,P0165,6,1236,west
1000030,2024-01-01,C1190,P0178,9,1273,central
1000031,2024-01-01,C1231,P0191,12,1310,north
1000032,2024-01-01,C1272,P0004,15,1347,south
1000033,2024-01-01,C1313,P0017,18,1384,east
1000034,2024-01-01,C1354,P0030,1,1421,west
1000035,2024-01-01,C1395,P0043,4,1458,central
1000036,2024-01-01,C1436,P0056,7,1495,north
1000037,2024-01-01,C1477,P0069,10,1532,south
1000038,2024-01-01,C1018,P0082,13,1569,east
1000039,2024-01-01,C1059,P0095,16,1606,west
1000040,2024-01-01,C1100,P0108,19,1643,central
1000041,2024-01-01,C1141,P0121,2,1680,north
1000042,2024-01-01,C1182,P0134,5,1717,south
1000043,2024-01-01,C1223,P0147,8,1754,east
1000044,2024-01-01,C1264,P0160,11,1791,west
1000045,2024-01-01,C1305,P0173,14,1828,central
1000046,2024-01-01,C1346,P0186,17,1865,north
1000047,2024-01-01,C1387,P0199,20,1902,south
1000048,2024-01-01,C1428,P0012,3,1939,east
1000049,2024-01-01,C1469,P0025,6,1976,west
1000050,2024-01-01,C1010,P0038,9,2013,central
1000051,2024-01-01,C1051,P0051,12,2050,north
1000052,2024-01-01,C1092,P0064,15,2087,south
1000053,2024-01-01,C1133,P0077,18,2124,east
1000054,2024-01-01,C1174,P0090,1,2161,west
1000055,2024-01-01,C1215,P0103,4,2198,central
1000056,2024-01-01,C1256,P0116,7,2235,north
1000057,2024-01-01,C1297,P0129,10,2272,south
1000058,2024-01-01,C1338,P0142,13,2309,east
1000059,2024-01-01,C1379,P0155,16,2346,west
1000060,2024-01-01,C1420,P0168,19,2383,central
1000061,2024-01-01,C1461,P0181,2,2420,north
1000062,2024-01-01,C1002,P0194,5,2457,south
1000063,2024-01-01,C1043,P0007,8,2494,east
1000064,2024-01-01,C1084,P0020,11,2531,west
1000065,2024-01-01,C1125,P0033,14,2568,central
1000066,2024-01-01,C1166,P0046,17,2605,north
1000067,2024-01-01,C1207,P0059,20,2642,south
1000068,2024-01-01,C1248,P0072,3,2679,east
1000069,2024-01-01,C1289,P0085,6,2716,west
1000070,2024-01-01,C1330,P0098,9,2753,central
1000071,2024-01-01,C1371,P0111,12,2790,north
1000072,2024-01-01,C1412,P0124,15,2827,south
1000073,2024-01-01,C1453,P0137,18,2864,east
1000074,2024-01-01,C1494,P0150,1,2901,west
1000075,2024-01-01,C1035,P0163,4,2938,central
1000076,2024-01-01,C1076,P0176,7,2975,north
1000077,2024-01-01,C1117,P0189,10,3012,south
1000078,2024-01-01,C1158,P0002,13,3049,east
1000079,2024-01-01,C1199,P0015,16,3086,west
1000080,2024-01-01,C1240,P0028,19,3123,central
1000081,2024-01-01,C1281,P0041,2,3160,north
1000082,2024-01-01,C1322,P0054,5,3197,south
1000083,2024-01-01,C1363,P0067,8,3234,east
1000084,2024-01-01,C1404,P0080,11,3271,west
1000085,2024-01-01,C1445,P0093,14,3308,central
1000086,2024-01-01,C1486,P0106,17,3345,north
1000087,2024-01-01,C1027,P0119,20,3382,south
1000088,2024-01-01,C1068,P0132,3,3419,east
1000089,2024-01-01,C1109,P0145,6,3456,west
1000090,2024-01-01,C1150,P0158,9,3493,central
1000091,2024-01-01,C1191,P0171,12,3530,north
1000092,2024-01-01,C1232,P0184,15,3567,south
1000093,2024-01-01,C1273,P0197,18,3604,east
1000094,2024-01-01,C1314,P0010,1,3641,west
1000095,2024-01-01,C1355,P0023,4,3678,central
1000096,2024-01-01,C1396,P0036,7,3715,north
1000097,2024-01-02,C1437,P0049,10,3752,south
1000098,2024-01-02,C1478,P0062,13,3789,east
1000099,2024-01-02,C1019,P0075,16,3826,west
1000100,2024-01-02,C1060,P0088,19,3863,central
1000101,2024-01-02,C1101,P0101,2,3900,north
1000102,2024-01-02,C1142,P0114,5,3937,south
1000103,2024-01-02,C1183,P0127,8,3974,east
1000104,2024-01-02,C1224,P0140,11,4011,west
1000105,2024-01-02,C1265,P0153,14,4048,central
1000106,2024-01-02,C1306,P0166,17,4085,north
1000107,2024-01-02,C1347,P0179,20,4122,south
1000108,2024-01-02,C1388,P0192,3,4159,east
1000109,2024-01-02,C1429,P0005,6,4196,west
1000110,2024-01-02,C1470,P0018,9,4233,central
1000111,2024-01-02,C1011,P0031,12,4270,north
1000112,2024-01-02,C1052,P0044,15,4307,south
1000113,2024-01-02,C1093,P0057,18,4344,east
1000114,2024-01-02,C1134,P0070,1,4381,west
